justice,party,ideology
Rehnquist,Republican,conservative
Roberts,Republican,conservative
Stevens,Republican,liberal
O'Connor,Republican,conservative
Scalia,Republican,conservative
Kennedy,Republican,conservative
Souter,Republican,liberal
Thomas,Republican,conservative
Ginsburg,Democrat,liberal
Breyer,Democrat,liberal
Alito,Republican,conservative
Sotomayor,Democrat,liberal
Kagan,Democrat,liberal
Gorsuch,Republican,conservative
Kavanaugh,Republican,conservative
Barrett,Republican,conservative
Jackson,Democrat,liberal
