docket,Roberts,Thomas,Alito,Sotomayor,Kagan,Gorsuch,Kavanaugh,Barrett,Jackson
21-432,1,1,1,1,1,1,1,1,1
21-1397,1,1,1,1,1,1,1,1,1
21-846,1,0,0,1,1,0,1,0,1
21-984,1,1,0,1,1,0,0,1,1
21-908,1,1,1,1,1,1,1,1,1
21-1195,1,0,1,0,0,1,1,0,1
145 Orig,1,1,1,1,1,1,1,1,1
21-887,1,1,1,1,1,1,1,1,1
21-1164,0,0,0,1,1,1,1,1,1
21-86,1,1,1,1,1,1,1,1,1
156 Orig,1,1,1,1,1,1,1,1,1
21-442,1,0,0,1,1,0,1,1,1
21-1450,1,1,0,1,1,0,1,1,1
21-1270,1,1,1,1,1,1,1,1,1
21-1170,1,1,1,1,1,1,1,1,1
21-1158,1,1,1,1,1,1,1,1,1
22-96,1,0,1,1,1,1,1,1,1
21-468,0,1,0,1,1,1,0,1,0
21-1436,1,1,1,1,1,1,1,1,1
21-1599,1,1,1,1,1,1,1,1,1
21-1454,1,1,0,1,1,0,1,1,1
21-1496,1,1,1,1,1,1,1,1,1
21-869,0,1,1,1,0,1,1,1,1
21-757,1,1,1,1,1,1,1,1,1
21-1333,1,1,1,1,1,1,1,1,1
22-714,1,1,1,1,1,1,1,1,1
22-166,1,1,1,1,1,1,1,1,1
21-454,1,1,1,1,1,1,1,1,1
22-210,1,1,1,1,1,1,1,1,1
21-1326,1,1,1,1,1,1,1,1,1
22-200,1,1,1,1,1,1,1,1,1
21-1449,1,1,1,1,1,1,1,1,0
21-1086,1,0,0,1,1,0,1,0,1
22-10,1,1,1,1,1,1,1,1,1
22-148,1,1,1,1,1,1,1,1,1
21-806,1,0,0,1,1,1,1,1,1
21-1576,1,1,1,1,1,1,1,1,1
21-376,1,0,0,1,1,1,1,1,1
22-227,1,1,1,1,1,0,1,1,1
21-1052,1,0,1,1,1,1,1,1,1
22-49,1,1,1,1,1,1,1,1,1
21-857,1,1,1,0,0,1,1,1,0
22-381,1,0,0,1,1,0,1,1,1
21-1484,1,1,1,0,0,0,1,1,0
22-23,1,1,1,0,0,0,1,1,1
22-196,1,1,1,0,0,1,1,1,0
22-58,1,1,0,1,1,1,1,1,1
22-105,1,0,1,0,0,1,1,1,0
22-179,1,1,1,0,1,1,1,1,0
21-1168,0,1,1,1,0,1,0,0,1
22-138,1,0,1,1,1,1,1,0,1
21-1271,1,0,0,1,1,0,1,1,1
21-1043,1,1,1,1,1,1,1,1,1
22-174,1,1,1,1,1,1,1,1,1
20-1199,1,1,1,0,0,1,1,1,NA
21-707,1,1,1,0,0,1,1,1,0
21-476,1,1,1,0,0,1,1,1,0
22-535,1,1,1,1,1,1,1,1,1
22-506,1,1,1,0,0,1,1,1,0
